-39,-33,34
-37,-36,36
-35,-36,36
-34,-36,32
-31,-36,31
-29,-45,37
-29,-48,38
-31,-43,36
-24,-42,33
-27,-41,34
-28,-46,36
-27,-49,37
-26,-48,38
-21,-48,42
-21,-47,41
-22,-45,42
-27,-46,40
-28,-46,39
-24,-45,42
-25,-44,42
-19,-43,49
-20,-41,48
-22,-40,47
-22,-40,44
-22,-40,46
-22,-40,46
-22,-39,46
-24,-39,46
-24,-39,45
-23,-38,45
-22,-37,44
-23,-37,43
-23,-38,43
-23,-37,45
-21,-37,47
-21,-36,51
-22,-35,50
-27,-36,52
-30,-35,50
-29,-35,52
-27,-32,54
-28,-32,57
-22,-26,54
-20,-20,43
-22,-19,38
-23,-23,35
-22,-25,35
-26,-29,33
-26,-35,26
-27,-38,22
-37,-48,25
-39,-52,29
-40,-57,30
-44,-63,36
-51,-64,41
-64,-62,46
-61,-58,41
-52,-50,33
-37,-47,40
-28,-44,41
-12,-36,39
-6,-31,39
-9,-21,27
-11,-16,20
-15,-20,19
-28,-35,15
-29,-42,11
-22,-50,13
-28,-65,17
-27,-72,19
-23,-82,15
-20,-84,14
-18,-82,12
-17,-73,13
-16,-70,13
-15,-66,15
-15,-64,15
-15,-61,15
-14,-58,17
-12,-56,19
-18,-56,17
-16,-56,18
-10,-55,20
1,-55,22
1,-54,21
4,-54,23
0,-56,23
-1,-58,26
-2,-60,26
-4,-59,23
-2,-68,25
-2,-79,29
-7,-86,30
-7,-72,24
-6,-66,19
0,-71,20
-1,-70,21
-5,-66,19
-4,-64,19
-3,-62,16
-4,-57,12
-5,-56,12
-8,-54,9
-9,-54,7
-11,-56,6
-10,-55,4
-10,-55,4
-8,-52,3
-9,-52,6
-9,-52,8
-10,-52,8
-9,-53,7
-11,-70,8
-14,-78,10
-16,-83,12
-17,-75,18
-14,-72,18
-11,-73,20
-9,-74,18
-9,-74,11
-11,-63,9
-14,-58,8
-19,-54,8
-19,-52,7
-18,-51,8
-18,-51,10
-16,-50,11
-15,-54,16
-14,-56,17
-19,-57,14
-18,-66,15
-17,-67,13
-20,-84,11
-23,-85,7
-23,-78,5
-27,-65,6
-30,-69,9
-24,-82,8
-23,-82,5
-21,-76,4
-15,-62,4
-12,-55,3
-10,-46,5
-9,-44,5
-12,-43,3
-14,-46,0
-14,-47,0
-13,-49,2
-13,-51,3
-13,-56,4
-14,-59,3
-15,-59,4
-16,-62,6
-14,-66,6
-17,-85,3
-23,-89,5
-25,-86,9
-20,-64,12
-18,-54,10
-19,-60,11
-19,-65,7
-18,-65,7
-15,-58,8
-14,-55,9
-14,-52,12
-16,-51,11
-17,-51,12
