sec_from_onset,eda_mean,hr_mean,eda_se,hr_se,eda_n,hr_n
2383,-0.03413061902931067,-0.1170238918156558,0.10686490659578265,0.08130690915618423,97,97
2384,-0.0069251793798227245,-0.1176386723971786,0.10970633659821313,0.0811693890699863,97,97
2385,-0.005837638727063742,-0.11795441088477407,0.10960624345210421,0.08101747204977207,97,97
2386,0.010131376779853221,-0.11826388577920614,0.11061787098410333,0.08046692726157303,97,97
2387,-0.0014908251659461907,-0.11877479154971454,0.11190000099435225,0.07993400909512426,97,97
2388,-0.014854147502014919,-0.11877245211501002,0.11067938260052489,0.07939609888554423,97,97
2389,0.010788119891956176,-0.11927819159047758,0.11150999207190958,0.07897373236844388,97,97
2390,-0.00728179286412511,-0.1194018408499542,0.11399947577067841,0.07865668185223125,97,97
2391,-0.026285598347813615,-0.11930820277227583,0.11193160986693347,0.0783556734982502,97,97
2392,-0.03880731113552821,-0.11882872122050421,0.10921499423504524,0.07806325038122627,97,97
2393,-0.016375862041622967,-0.11829671184271498,0.11125036057760347,0.07791594468254438,97,97
2394,-0.027102533280003862,-0.11868067708480286,0.11728479813094594,0.07778144780979804,97,97
2395,-0.04406638851726583,-0.11827799296683073,0.11609779421659096,0.07758116810417261,97,97
2396,-0.04099625495415179,-0.11729918439267303,0.11314644497435139,0.07739016660859362,97,97
2397,-0.04908910159364821,-0.11719853992348078,0.11108158193502761,0.07717685653857437,97,97
2398,-0.059179332042951706,-0.11696896951473787,0.11184085255603257,0.07702204608926143,97,97
2399,-0.06998848859299997,-0.1173323161760947,0.11373729099370282,0.07681827804716825,97,97
2400,-0.07047322018178886,-0.11697200802444506,0.11454801829014429,0.07661457240732211,97,97
2401,-0.06321675744120545,-0.11560514241657263,0.11461417809959275,0.07645661288485951,97,97
2402,-0.08132425423285568,-0.11405920102388793,0.11369858885525161,0.07636867163442995,97,97
2403,-0.06798405403305875,-0.1118659563220879,0.11677844271982564,0.07645341556419458,97,97
2404,-0.0523188220222117,-0.1085234417046115,0.12054368397335127,0.07657088078365372,97,97
2405,-0.06719419419300447,-0.10562482601475585,0.1207897208579552,0.07663591301324156,97,97
2406,-0.04855239712798256,-0.10236413765526758,0.12175812989123538,0.0766578080818252,97,97
2407,-0.03635854752296252,-0.0987341474866982,0.12154619292216297,0.07671540888791639,97,97
2408,-0.051035565208519186,-0.09491811408344365,0.11768293772222345,0.0769610469470663,97,97
2409,-0.029324932285888537,-0.09168224656322824,0.1135668639791307,0.07716256500186797,97,97
2410,-0.016978060811546427,-0.08830393280404214,0.1124734355330309,0.07732238384214328,97,97
2411,-0.008264077834335685,-0.08402521684846968,0.11255789656912844,0.07744060427515143,97,97
2412,0.018872498248563137,-0.07852965918255708,0.11641937696845105,0.07773605994791404,98,97
2413,0.0035135589760665856,-0.07398205303665151,0.11942030784809379,0.07807407552901563,98,97
2414,0.016654827285823567,-0.06932641144903845,0.11692342334994708,0.07845128500363874,98,97
2415,0.01344065914096087,-0.06483665160758968,0.11505970299187994,0.07889040907939714,98,97
2416,0.011168695666479565,-0.05974253446234967,0.11583571948687675,0.07941888899208463,98,97
2417,0.011888607262985304,-0.05504981132132977,0.1162275465421409,0.08000571627102279,98,97
2418,0.01629168132071851,-0.05072307378928652,0.11723713168833146,0.08066875446764989,98,97
2419,-0.014909175478795725,-0.04667583400267892,0.115938226615014,0.0813193397956381,98,97
2420,-0.03470420717491705,-0.04190614999280203,0.11683593549398393,0.08197975656964177,98,97
2421,-0.011755858858633351,-0.03751149995837363,0.11643179315623403,0.08262452607603976,98,97
2422,-0.005584566085404497,-0.035068851228166845,0.1130999427357054,0.08251417574337828,98,98
2423,-0.027298068771353764,-0.03183034151581034,0.11463668618156664,0.0832756333090408,98,98
2424,-0.021624201380529093,-0.028883616558978684,0.11562710844378898,0.08403855814434369,98,98
2425,-0.005860299002707969,-0.025438605742862178,0.11505981583588511,0.08469320563926669,98,98
2426,0.0018409257015542966,-0.022477033396755407,0.11376055870156897,0.08528324398244692,98,98
2427,-0.018965452867142216,-0.018868271770710012,0.11310223977306662,0.08601386227698996,98,98
2428,-0.0076280817749424515,-0.015960965663734998,0.11384759301601095,0.08669003138870753,98,98
2429,-0.014831301555918018,-0.012873595125220544,0.11335145821603712,0.08727605976017959,98,98
2430,-0.02406939482075979,-0.010096637716190392,0.11125878440332765,0.0877459316373065,98,98
2431,-0.03231690831622569,-0.0065471682683805685,0.10923120396367476,0.08823223067310533,98,98
2432,-0.030344671841574095,-0.002924866113042607,0.10918744698534186,0.08868981880604995,98,98
2433,-0.016636828083872707,0.00034715571988587463,0.11088237996554888,0.08915061367160676,98,98
2434,-0.011139412152676295,0.004522792040927353,0.10974822186763154,0.0896024831751037,98,98
2435,-0.021908752542827634,0.009606273482730243,0.10957304344441784,0.09029580915463413,98,98
2436,-0.028882818219130364,0.014985153882957748,0.1122001772564191,0.09100653549893682,98,98
2437,-0.01607614353538133,0.020692237177449137,0.11278777038122796,0.09181267781798068,98,98
2438,-0.005017796013138626,0.0252793428379183,0.1098037636623722,0.09261816870765202,98,98
2439,-0.009028413574944365,0.03069072253872225,0.10755708087692603,0.09346986015174785,98,98
2440,-0.014835174717581725,0.03563242891600231,0.1089888239774487,0.09431973695699943,98,98
2441,-0.024133451432804553,0.040233128695660626,0.10861424257102564,0.09507332016600081,98,98
2442,-0.0038181333344995535,0.0454066797886959,0.11245069145948496,0.0958004830983502,98,98
2443,0.0009511222639576439,0.050714042886978894,0.11792329084896279,0.09636223110960783,98,98
2444,-0.007351237299451097,0.05408279566238746,0.11732523756668585,0.0970058705533056,98,98
2445,-0.03015034041549917,0.05682746871170758,0.11116357407874226,0.09760264464397408,98,98
2446,-0.05943667205676334,0.059482854416328924,0.1072462604391086,0.09812060051736342,98,98
2447,-0.05706751205861088,0.06198617153928607,0.10787126972287789,0.09866398849239923,98,98
2448,-0.05356626667728699,0.0648626824149573,0.10584305566157622,0.09918966258628606,98,98
2449,-0.05809131796328988,0.06802672203213299,0.10539741994869362,0.09966044457981314,98,98
2450,-0.05845667462166342,0.07079437322725997,0.10602542002999885,0.1003538453824938,98,98
2451,-0.0783369763086162,0.0740222621773911,0.10627040004473366,0.10106925364749252,98,98
2452,-0.06602940436132182,0.0769772912666145,0.11011750478043345,0.10163265359783856,98,98
2453,-0.0559222102830823,0.08025962251517499,0.11214094513257157,0.1020785841808736,98,98
2454,-0.0417619555175626,0.08455655281851039,0.11588211376041933,0.10259147335427168,98,98
2455,-0.03662261458922383,0.08781211201600646,0.11491766743898135,0.1030189035037609,98,98
